parameter_no,dio_stores,tcb_stores,urara_stores,dsc_stores,lieto_stores,eminal_stores,sbc_stores
344,-,-,-,-,-,-,-
345,-,-,-,-,-,-,-
346,-,-,-,-,-,-,-
347,-,-,-,-,-,-,-
348,-,-,-,-,-,-,-
349,-,-,-,-,-,-,-
350,-,-,-,-,-,-,-
351,-,-,-,-,-,-,-
352,-,-,-,-,-,-,-
353,-,-,-,-,-,-,-
354,-,-,-,-,-,-,-
355,-,-,-,-,-,-,-
356,-,-,-,-,-,-,-
357,-,-,-,-,-,-,-
358,-,-,-,-,-,-,-
359,-,-,-,-,-,-,-
360,-,-,-,-,-,-,-
361,-,-,-,-,-,-,-
362,-,-,-,-,-,-,-
363,-,-,-,-,-,-,-
364,-,-,-,-,-,-,-
365,-,-,-,-,-,-,-
366,-,-,-,-,-,-,-
367,-,-,-,-,-,-,-
368,-,-,-,-,-,-,-
369,-,-,-,-,-,-,-
370,-,-,-,-,-,-,-
371,-,-,-,-,-,-,-
372,-,-,-,-,-,-,-
373,-,-,-,-,-,-,-
374,-,-,-,-,-,-,-
375,-,-,-,-,-,-,-
376,-,-,-,-,-,-,-
377,-,-,-,-,-,-,-
378,-,-,-,-,-,-,-
379,-,-,-,-,-,-,-
380,-,-,-,-,-,-,-
381,-,-,-,-,-,-,-
382,-,-,-,-,-,-,-
383,-,-,-,-,-,-,-
384,-,-,-,-,-,-,-
385,-,-,-,-,-,-,-
386,-,-,-,-,-,-,-
387,-,-,-,-,-,-,-
388,-,-,-,-,-,-,-
389,-,-,-,-,-,-,-
390,-,-,-,-,-,-,-
391,-,-,-,-,-,-,-
392,-,-,-,-,-,-,-
393,-,-,-,-,-,-,-
394,-,-,-,-,-,-,-
395,-,-,-,-,-,-,-
396,-,-,-,-,-,-,-
397,-,-,-,-,-,-,-
398,-,-,-,-,-,-,-
399,-,-,-,-,-,-,-
