parameter_no,omt_stores,inv_stores,kireil_stores,ws_stores,zenyum_stores,kireiline_stores
94,-,-,-,ws_087/ws_090,-,-
95,-,-,-,-,-,-
96,-,-,-,-,-,-
97,-,-,kireil_046,-,-,-
98,-,-,kireil_045,-,-,-
99,-,-,kireil_017/kireil_047,ws_017/ws_019/ws_027/ws_037/ws_040/ws_123,-,-
100,-,-,kireil_047,ws_034/ws_037,-,-
101,-,-,kireil_042,ws_036/ws_038/ws_039/ws_041/ws_042,-,-
102,-,-,kireil_043/kireil_044,-,-,-
103,-,-,kireil_038/kireil_039,ws_047,zenyum_005,-
104,-,-,kireil_037,-,-,-
105,-,-,-,-,-,-
106,-,-,kireil_034/kireil_035,ws_043/ws_046,-,-
107,-,-,kireil_034,-,-,-
108,-,-,-,-,-,-
109,-,-,kireil_035,ws_046,-,-
110,-,-,-,-,-,-
111,-,-,kireil_070,ws_082,-,-
112,-,-,-,ws_100,-,-
113,-,-,-,-,-,-
114,-,-,kireil_050/kireil_051/kireil_052,-,-,-
115,-,-,-,-,-,-
116,-,-,kireil_033,-,-,-
117,-,-,-,-,-,-
118,-,-,-,-,-,-
119,-,-,kireil_085/kireil_089,-,-,-
120,-,-,-,ws_099,-,-
121,-,-,-,-,-,-
122,-,-,-,-,-,-
123,-,-,-,-,-,-
124,-,-,-,-,-,-
125,-,-,-,-,-,-
126,-,-,-,-,-,-
127,-,-,-,-,-,-
128,-,-,-,-,-,-
129,-,-,-,-,-,-
130,-,-,-,-,-,-
131,-,-,-,-,-,-
132,-,-,kireil_028/kireil_029,ws_116,-,-
133,-,-,-,-,-,-
134,-,-,-,-,-,-
135,-,-,-,-,-,-
136,-,-,kireil_024/kireil_025/kireil_026/kireil_027,ws_117,zenyum_009,-
137,-,-,-,-,-,-
138,-,-,-,-,-,-
139,-,-,-,ws_118,-,-
140,-,-,-,-,-,-
141,-,-,-,-,-,-
142,-,-,-,-,-,-
143,-,-,-,-,-,-
144,-,-,-,-,-,-
145,-,-,-,-,-,-
146,-,-,-,-,-,-
147,-,-,-,-,-,-
148,-,-,-,-,-,-
149,-,-,-,-,-,-
150,-,-,-,-,-,-
151,-,-,-,-,-,-
152,-,-,-,-,-,-
153,-,-,-,-,-,-
154,-,-,-,-,-,-
155,-,-,-,-,-,-
156,-,-,-,-,-,-
157,-,-,-,-,-,-
158,-,-,-,-,-,-
159,-,-,-,-,-,-
160,-,-,-,-,-,-
161,-,-,-,-,-,-
162,-,-,-,-,-,-
163,-,-,-,-,-,-
164,-,-,-,-,-,-
165,-,-,-,-,-,-
166,-,-,-,-,-,-
167,-,-,-,-,-,-
168,-,-,-,-,-,-
169,-,-,-,-,-,-
170,-,-,-,-,-,-
171,-,-,-,-,-,-
172,-,-,-,-,-,-
173,-,-,-,-,-,-
174,-,-,-,-,-,-
175,-,-,-,-,-,-
176,-,-,-,-,-,-
177,-,-,-,-,-,-
178,-,-,-,-,-,-
179,-,-,-,-,-,-
180,-,-,-,-,-,-
181,-,-,-,-,-,-
182,-,-,-,-,-,-
183,-,-,-,-,-,-
184,-,-,-,-,-,-
185,-,-,-,-,-,-
186,-,-,-,-,-,-
187,-,-,-,-,-,-
188,-,-,-,-,-,-
189,-,-,-,-,-,-
190,-,-,-,-,-,-
191,-,-,-,-,-,-
192,-,-,-,-,-,-
193,-,-,-,-,-,-
194,-,-,-,-,-,-
195,-,-,-,-,-,-
196,-,-,-,-,-,-
197,-,-,-,-,-,-
198,-,-,-,-,-,-
199,-,-,-,-,-,-
200,-,-,-,-,-,-
201,-,-,-,-,-,-
202,-,-,-,-,-,-
203,-,-,-,-,-,-
204,-,-,-,-,-,-
205,-,-,-,-,-,-
206,-,-,-,-,-,-
207,-,-,-,-,-,-
208,-,-,-,-,-,-
209,-,-,-,-,-,-
210,-,-,-,-,-,-
211,-,-,-,-,-,-
212,-,-,-,-,-,-
213,-,-,-,-,-,-
214,-,-,-,-,-,-
215,-,-,-,-,-,-
216,-,-,-,-,-,-
217,-,-,-,-,-,-
218,-,-,-,-,-,-
219,-,-,-,-,-,-
220,-,-,-,-,-,-
221,-,-,-,-,-,-
222,-,-,-,-,-,-
223,-,-,-,-,-,-
224,-,-,-,-,-,-
225,-,-,-,-,-,-
226,-,-,-,-,-,-
227,-,-,-,-,-,-
228,-,-,-,-,-,-
229,-,-,-,-,-,-
230,-,-,-,-,-,-
231,-,-,-,-,-,-
232,-,-,-,-,-,-
233,-,-,-,-,-,-
234,-,-,-,-,-,-
235,-,-,-,-,-,-
236,-,-,-,-,-,-
237,-,-,-,-,-,-
238,-,-,-,-,-,-
239,-,-,-,-,-,-
240,-,-,-,-,-,-
241,-,-,-,-,-,-
242,-,-,-,-,-,-
243,-,-,-,-,-,-
244,-,-,-,-,-,-
245,-,-,-,-,-,-
246,-,-,-,-,-,-
247,-,-,-,-,-,-
248,-,-,-,-,-,-
249,-,-,-,-,-,-
250,-,-,-,-,-,-
251,-,-,-,-,-,-
252,-,-,-,-,-,-
253,-,-,-,-,-,-
254,-,-,-,-,-,-
255,-,-,-,-,-,-
256,-,-,-,-,-,-
257,-,-,-,-,-,-
258,-,-,-,-,-,-
259,-,-,-,-,-,-
260,-,-,-,-,-,-
261,-,-,-,-,-,-
262,-,-,-,-,-,-
263,-,-,-,-,-,-
264,-,-,-,-,-,-
265,-,-,-,-,-,-
266,-,-,-,-,-,-
267,-,-,-,-,-,-
268,-,-,-,-,-,-
269,-,-,-,-,-,-
270,-,-,-,-,-,-
271,-,-,-,-,-,-
272,-,-,-,-,-,-
273,-,-,-,-,-,-
274,-,-,-,-,-,-
275,-,-,-,-,-,-
276,-,-,-,-,-,-
277,-,-,-,-,-,-
278,-,-,-,-,-,-
279,-,-,-,-,-,-
280,-,-,-,-,-,-
281,-,-,-,-,-,-
282,-,-,-,-,-,-
283,-,-,-,-,-,-
284,-,-,-,-,-,-
285,-,-,-,-,-,-
286,-,-,-,-,-,-
287,-,-,-,-,-,-
288,-,-,-,-,-,-
289,-,-,-,-,-,-
290,-,-,-,-,-,-
291,-,-,-,-,-,-
292,-,-,-,-,-,-
293,-,-,-,-,-,-
294,-,-,-,-,-,-
295,-,-,-,-,-,-
296,-,-,-,-,-,-
297,-,-,-,-,-,-
298,-,-,-,-,-,-
299,-,-,-,-,-,-
300,-,-,-,-,-,-
